Episode Number,Title,URL
1,,https://www.youtube.com/live/-wrI0bfZpyc?si=FV0CA70EN731_dpv
2,,https://www.youtube.com/live/vQlFk-HLWYI?si=7QYtei2snYaIdeWC
3,Michelson Morley,https://www.youtube.com/live/MrODI8vy9kE?si=78VJWxlIndXV8zrv
4,,https://www.youtube.com/live/XjJxTCNv_Wo?si=qRxiGSQkQMrbNAGi
5,Plane Flights,https://www.youtube.com/live/2sx6_C3HdI8?si=SKokL6jtOXVqT243
6,Tides,https://www.youtube.com/live/J8tsP4mwqLk?si=_MhBB6p9hqprq42k
7,Azimuthal Grid Of Vision,https://www.youtube.com/live/HV89DJhCsCE?si=6deN9-j_83RydIKt
8,Globe Deception Timeline,https://www.youtube.com/live/ItrTwqm3YuQ?si=tNP5s5pacGKwMrdB
9,Atmosphere,https://www.youtube.com/live/h6AWa9vUGQU?si=Qe-L0IwtHQ5PM7HH
10,Microwave,https://www.youtube.com/live/xZkNeqfm7fQ?si=DSe8xoZiP4WNfxfR
11,Timezones,https://www.youtube.com/live/0iTmJl1QeAE?si=LHhAv_2IysWN5Elu
12,Flat Earth 101,https://www.youtube.com/live/Jg9AoeC4cr4?si=-TV5XGXGzhPtdpeq
13,Magnetic Declination,https://www.youtube.com/live/2BLIkqri2hg?si=jkmYpAFNJJi9L3Dw
14,Antarctica,https://www.youtube.com/live/v42xXgVNqD0?si=OmX2xOQHLeANgH-C
15,The Wobble,https://www.youtube.com/live/FgmTsb0AFE4?si=GADYzdfP1xdPdIbQ
16,Sonar,https://www.youtube.com/live/I-4Wp3e8kIg?si=CnjFHv8dPF5WY8tN
17,Fallacies,https://www.youtube.com/live/hGPlCam2db4?si=C9QA42NMotYGlGBh
18,Horizon,https://www.youtube.com/live/dY_hKAl5HmU?si=HgYcYNo0LWQb4pO9
19,Sunset,https://www.youtube.com/live/OmUvUkASfD0?si=8AxX9xXeyXQM9zAg
20,True Earth 101,https://www.youtube.com/live/BUKhVpX1WhM?si=GbShEJK-USKzMst9
21,,https://www.youtube.com/live/bP875zFtNIY?si=tIQXd8MueePqZyEa
22,,https://www.youtube.com/live/APC8JUIEgdA?si=yJTkocrzvhFJnE9v
23,,https://www.youtube.com/live/7QYaxbsVgd0?si=-SjDYzNuL0DoZRfM
24,,https://www.youtube.com/live/BvYMiIjrbxI?si=nJABnX9KGw-0Y_wB
25,,https://www.youtube.com/live/3yYdQbKCSC8?si=3NlIVWV-09SFnOQ6
26,,https://www.youtube.com/live/FBKrYJ0YvUY?si=wNuHPwPX2NFVSMA7
27,,https://www.youtube.com/live/oS_pC5vAs9I?si=Tw9SHmLvfzxeD7AN
28,,https://www.youtube.com/live/TVHI-TUTLZc?si=F56NzRU66lfDfrqR
29,,https://www.youtube.com/live/wAvQA9CNG2I?si=4e4CQRbKk7n4NaDD
30,GPS,https://www.youtube.com/live/ejv1FOO1CUQ?si=U0xHBCeFzqQotYNZ
31,Electric Field,https://www.youtube.com/live/g7A8ngtE1lQ?si=atZBh79DMlRTJFkX
32,Horizon,https://www.youtube.com/live/-HDH15QPjfY?si=Rp864LDkDf7h63Sk
33,Geocentrism,https://www.youtube.com/live/oY1svV3dMVg?si=nxhwiPgPiPwImsdO
34,The Core of the Globe Belief,https://www.youtube.com/live/lTIFsHH5i6U?si=9txXbDUhsgWgyPCK
35,Logic,https://www.youtube.com/live/9cRWrHuPYp8?si=XBOtTOlORyQxRt_z
36,Burden of Proof,https://www.youtube.com/live/4D70wx9Ppwg?si=Pqs8rFKJnA-u97ex